DCLXXVIII,678
CMLXXXI,981
117,CXVII
CMLXXV,975
MMCDXCVII,2497
646,DCXLVI
2694,MMDCXCIV
CDLX,460
637,DCXXXVII
CCLI,251
MMCDXV,2415
MMXXXVI,2036
300,CCC
2913,MMCMXIII
2392,MMCCCXCII
2207,MMCCVII
DCCCLXXXIX,889
DCCCIX,809
2089,MMLXXXIX
1241,MCCXLI
CCCLXXXI,381
422,CDXXII
CCXXI,221
240,CCXL
MDCLVIII,1658
MMDCCCVII,2807
MCDLIV,1454
2999,MMCMXCIX
68,LXVIII
MDLXIII,1563
MMIX,2009
MCCCXLII,1342
MDLVII,1557
MDCCXCIV,1794
CMVI,906
MMCCCXLVI,2346
2699,MMDCXCIX
  ;#'[]'#./,ERROR
1567,MDLXVII
DCCCXIX,819
178,CLXXVIII
2785,MMDCCLXXXV
CMLXXXIV,984
DCCXCVI,796
162,CLXII
1355,MCCCLV
DLXXX,580
MCCCXVII,1317
1842,MDCCCXLII
1098,MXCVIII
DCCCXXXIII,833
441,CDXLI
CCCXL,340
1705,MDCCV
2895,MMDCCCXCV
976,CMLXXVI
1814,MDCCCXIV
1023,MXXIII
2305,MMCCCV
676,DCLXXVI
MMCDLI,2451
MDCCI,1701
MMCLVIII,2158
2958,MMCMLVIII
MCCCLXXVII,1377
1824,MDCCCXXIV
DXXIX,529
1464,MCDLXIV
MDLXXXI,1581
MCMLIV,1954
MCDLXV,1465
CCVIII,208
1880,MDCCCLXXX
1246,MCCXLVI
1242,MCCXLII
MDXCII,1592
1033,MXXXIII
MMCDXXVII,2427
,ERROR
204,CCIV
MDCXXXII,1632
MMCLXXXII,2182
572,DLXXII
621,DCXXI
CXCV,195
2399,MMCCCXCIX
691,DCXCI
MMCMXCVI,2996
DCCIII,703
686,DCLXXXVI
310,CCCX
MMDLXXX,2580
2199,MMCXCIX
2914,MMCMXIV
1723,MDCCXXIII
MMDCCLVI,2756
CMLXXXII,982
CDXXV,425
MMDXCVI,2596
94,XCIV
1473,MCDLXXIII
172,CLXXII
CDXXXV,435
2940,MMCMXL
2519,MMDXIX
MDCCLXII,1762
2449,MMCDXLIX
DCCXXXIII,733
1139,MCXXXIX
DCCXXXI,731
CDXIX,419
2781,MMDCCLXXXI
2604,MMDCIV
CDLXX,470
CCCLVII,357
1785,MDCCLXXXV
1656,MDCLVI
CCXLVI,246
1048,MXLVIII
1575,MDLXXV
MDCXLVIII,1648
MCLXXVII,1177
2146,MMCXLVI
CCCXLVI,346
1428,MCDXXVIII
1014,MXIV
MMCLXIX,2169
520,DXX
MDCCCLXXXIV,1884
493,CDXCIII
MCLXIV,1164
1090,MXC
1610,MDCX
682,DCLXXXII
2241,MMCCXLI
MMCCCXLVIII,2348
1527,MDXXVII
2213,MMCCXIII
CCCLXXVI,376
2301,MMCCCI
DCCLVI,756
2374,MMCCCLXXIV
2607,MMDCVII
39,XXXIX
CCCXXVI,326
MCCCXXXVI,1336
MDLXXXV,1585
MLXXVI,1076
347,CCCXLVII
MCMXXXIV,1934
871,DCCCLXXI
MCXXI,1121
CLXXIV,174
55,LV
MCMLII,1952
MMDCIII,2603
1120,MCXX
2020,MMXX
MDLIX,1559
164,CLXIV
CMIV,904
261,CCLXI
DLV,555
1758,MDCCLVIII
2014,MMXIV
1377,MCCCLXXVII
CDX,410
1826,MDCCCXXVI
299,CCXCIX
2452,MMCDLII
348,CCCXLVIII
DCLXIII,663
937,CMXXXVII
588,DLXXXVIII
MDCCCXXXVI,1836
CCCLXXXVIII,388
1920,MCMXX
1313,MCCCXIII
201,CCI
1637,MDCXXXVII
2741,MMDCCXLI
MDIII,1503
VI,6
2794,MMDCCXCIV
CLIX,159
2761,MMDCCLXI
1561,MDLXI
CMXCII,992
DI,501
2968,MMCMLXVIII
1092,MXCII
MMCCL,2250
2252,MMCCLII
706,DCCVI
1199,MCXCIX
CDXLI,441
2798,MMDCCXCVIII
CDLXXXII,482
CDLXVIII,468
DCCCXCVII,897
169,CLXIX
MMDCXLVII,2647
DLXXIX,579
1797,MDCCXCVII
866,DCCCLXVI
2800,MMDCCC
MDCCCLII,1852
1116,MCXVI
MCDXCV,1495
MCCXXXI,1231
139,CXXXIX
2499,MMCDXCIX
2526,MMDXXVI
899,DCCCXCIX
LXXX,80
2009,MMIX
502,DII
934,CMXXXIV
  vi,6
1397,MCCCXCVII
DCLXII,662
983,CMLXXXIII
DCXCI,691
1521,MDXXI
2763,MMDCCLXIII
MDLXIX,1569
MCCXCVIII,1298
730,DCCXXX
MMCDXCIII,2493
2125,MMCXXV
1632,MDCXXXII
2863,MMDCCCLXIII
DCCLXXVI,776
2691,MMDCXCI
533,DXXXIII
MCMXIII,1913
DCCLXXXIII,783
1000,M
MMCCXCIX,2299
MDLXIV,1564
MCCCXV,1315
1731,MDCCXXXI
CCXXVIII,228
MMCCCXCVI,2396
MCMLXXV,1975
1560,MDLX
XXXV,35
MCXCVI,1196
2422,MMCDXXII
1546,MDXLVI
2463,MMCDLXIII
xCii,92
2239,MMCCXXXIX
MDCLIX,1659
566,DLXVI
2159,MMCLIX
1716,MDCCXVI
MMCDXXXVI,2436
2690,MMDCXC
MMDCCXV,2715
1673,MDCLXXIII
CCCXXXVI,336
1851,MDCCCLI
2056,MMLVI
1064,MLXIV
670,DCLXX
1938,MCMXXXVIII
MLXXVII,1077
DXVII,517
945,CMXLV
28,XXVIII
575,DLXXV
1149,MCXLIX
1055,MLV
2685,MMDCLXXXV
182,CLXXXII
1614,MDCXIV
CDXIV,414
DCXLIX,649
CCXXXVIII,238
483,CDLXXXIII
2633,MMDCXXXIII
2329,MMCCCXXIX
MMDCXXI,2621
MMCMV,2905
2851,MMDCCCLI
MXXV,1025
1775,MDCCLXXV
MXCIX,1099
CXVIII,118
XXVIII,28
MMCDXX,2420
1421,MCDXXI
1741,MDCCXLI
MDLXVII,1567
539,DXXXIX
2482,MMCDLXXXII
CMLXXXVII,987
XVIII,18
1072,MLXXII
76,LXXVI
MCDXIV,1414
MMDXXXV,2535
74,LXXIV
LXXXI,81
2298,MMCCXCVIII
2487,MMCDLXXXVII
CMXXXV,935
965,CMLXV
MV,1005
DCXVII,617
2689,MMDCLXXXIX
MDCCXXVII,1727
1357,MCCCLVII
MMDCCCLXI,2861
327,CCCXXVII
2730,MMDCCXXX
MCCLXI,1261
MMDIV,2504
MCDXVII,1417
CMXVI,916
MDCLXXVI,1676
629,DCXXIX
1564,MDLXIV
MMXCVIII,2098
2349,MMCCCXLIX
MDXC,1590
558,DLVIII
2656,MMDCLVI
MCIV,1104
269,CCLXIX
1101,MCI
1687,MDCLXXXVII
336,CCCXXXVI
MMLXIX,2069
2289,MMCCLXXXIX
MMDXIV,2514
DCCCXXXI,831
MMCCCXCV,2395
930,CMXXX
1692,MDCXCII
MMDLXX,2570
1422,MCDXXII
1334,MCCCXXXIV
CCLXXXIV,284
703,DCCIII
96,XCVI
2664,MMDCLXIV
MCMXCIX,1999
1235,MCCXXXV
197,CXCVII
DCXL,640
CXLIV,144
1578,MDLXXVIII
2306,MMCCCVI
2566,MMDLXVI
MDCCCLXVI,1866
2401,MMCDI
1661,MDCLXI
CCXXIV,224
1284,MCCLXXXIV
1825,MDCCCXXV
MMDXLVIII,2548
MCCVII,1207
MMDCCCXXII,2822
1857,MDCCCLVII
DCLII,652
MMCDLV,2455
2623,MMDCXXIII
MCMLXIV,1964
MCCXXIV,1224
1925,MCMXXV
932,CMXXXII
MMCMXL,2940
MMCDXXV,2425
2864,MMDCCCLXIV
2789,MMDCCLXXXIX
MMCM,2900
536,DXXXVI
MMCMXXI,2921
2784,MMDCCLXXXIV
2684,MMDCLXXXIV
2454,MMCDLIV
CDLXXIV,474
2841,MMDCCCXLI
MLXXXIII,1083
MMCDLXXXV,2485
MMDCVIII,2608
MMCCLXVII,2267
1303,MCCCIII
1161,MCLXI
DLXXXV,585
1672,MDCLXXII
MDCCCXXVII,1827
2086,MMLXXXVI
MMCDXCV,2495
1863,MDCCCLXIII
DXXXVII,537
1794,MDCCXCIV
MDCCCXI,1811
MMCIII,2103
1966,MCMLXVI
DCCLXX,770
CMLXXIV,974
2292,MMCCXCII
MDCCCVI,1806
MMDCCCXV,2815
CMXLV,945
MCCLXVIII,1268
2749,MMDCCXLIX
MMDCXI,2611
MMCCXVII,2217
MDCCLXXX,1780
1415,MCDXV
CCCXLIX,349
CXXIV,124
MMCMVI,2906
MMCCCVI,2306
MDCLXXXVII,1687
2353,MMCCCLIII
MMDXVIII,2518
738,DCCXXXVIII
CC,200
185,CLXXXV
MMCCCLIV,2354
1420,MCDXX
LVI,56
1515,MDXV
MDCCCXII,1812
1353,MCCCLIII
CCXLIX,249
CMXCIV,994
CLXXII,172
925,CMXXV
2186,MMCLXXXVI
iii,3
MXLVI,1046
CCXV,215
2801,MMDCCCI
MMCCLXXXVI,2286
156,CLVI
MCCLXXVI,1276
402,CDII
DCCCII,802
907,CMVII
MMCCLXXXV,2285
1047,MXLVII
DCXXIX,629
MCCCXXVIII,1328
1703,MDCCIII
MCCCXCVII,1397
CMXV,915
435,CDXXXV
MMDCCCLVIII,2858
1129,MCXXIX
MCDXXI,1421
993,CMXCIII
MMCDLVI,2456
2079,MMLXXIX
MDLVIII,1558
DLXIV,564
MMCMXLIX,2949
1624,MDCXXIV
844,DCCCXLIV
MMCCCLXXII,2372
250,CCL
2548,MMDXLVIII
247,CCXLVII
1234,MCCXXXIV
CCCXCIV,394
MMCDLX,2460
2343,MMCCCXLIII
2176,MMCLXXVI
2561,MMDLXI
2372,MMCCCLXXII
831,DCCCXXXI
MMCDLXXXIX,2489
MDCXVI,1616
MDCCCXX,1820
MCDLXI,1461
MMDLIV,2554
1884,MDCCCLXXXIV
MMDCCCLV,2855
604,DCIV
2093,MMXCIII
DCCLVII,757
1032,MXXXII
MDCLXXXV,1685
MMCMXLVII,2947
MMCCLIV,2254
DCCXXXIX,739
MDCL,1650
MDCCXLV,1745
CDXLVI,446
LXXIX,79
MCCCLIV,1354
1518,MDXVIII
MDCCCLXXXVII,1887
MXCIV,1094
MVIII,1008
534,DXXXIV
DCCCXXVIII,828
DCCXXII,722
MDCCCXCVIII,1898
1543,MDXLIII
1056,MLVI
MCMLI,1951
1643,MDCXLIII
845,DCCCXLV
MCXLIX,1149
MCMXI,1911
MDCXXI,1621
722,DCCXXII
137,CXXXVII
69,LXIX
CCXXIII,223
2745,MMDCCXLV
MMDCCLIV,2754
MMCIV,2104
1049,MXLIX
MMDCCXXIX,2729
2420,MMCDXX
1520,MDXX
MMDCXLVIII,2648
LXXIV,74
MDCXIX,1619
MMDXXV,2525
DCCCXCII,892
1245,MCCXLV
DCCCXXX,830
736,DCCXXXVI
MCXCVIII,1198
2982,MMCMLXXXII
MDCLXI,1661
710,DCCX
MCDXVIII,1418
724,DCCXXIV
2393,MMCCCXCIII
2542,MMDXLII
553,DLIII
CXCI,191
2496,MMCDXCVI
1860,MDCCCLX
1258,MCCLVIII
370,CCCLXX
655,DCLV
MCMLVI,1956
1615,MDCXV
MMDCCCXCIII,2893
2524,MMDXXIV
2058,MMLVIII
MCLXIX,1169
CD,400
1862,MDCCCLXII
920,CMXX
839,DCCCXXXIX
2986,MMCMLXXXVI
MMLXXVI,2076
2008,MMVIII
1779,MDCCLXXIX
122,CXXII
238,CCXXXVIII
698,DCXCVIII
0,ERROR
1783,MDCCLXXXIII
XXXI,31
1584,MDLXXXIV
388,CCCLXXXVIII
626,DCXXVI
DCXCV,695
1411,MCDXI
MCCLV,1255
2225,MMCCXXV
1211,MCCXI
MXXXVII,1037
2994,MMCMXCIV
1327,MCCCXXVII
1750,MDCCL
MMDXII,2512
1760,MDCCLX
936,CMXXXVI
2309,MMCCCIX
2672,MMDCLXXII
1809,MDCCCIX
DCCCLXIV,864
1563,MDLXIII
MDCCCLXXVII,1877
696,DCXCVI
CCXII,212
349,CCCXLIX
470,CDLXX
MCLXXXV,1185
MCLXXIII,1173
1489,MCDLXXXIX
MMCMLXI,2961
MMDLXXXVIII,2588
843,DCCCXLIII
2484,MMCDLXXXIV
MCCXIV,1214
MCCCXCIII,1393
561,DLXI
DCCXLVIII,748
2380,MMCCCLXXX
1827,MDCCCXXVII
 If g,ERROR
MMDXL,2540
429,CDXXIX
1730,MDCCXXX
MDCLXIV,1664
1352,MCCCLII
512,DXII
1181,MCLXXXI
32,XXXII
1786,MDCCLXXXVI
2397,MMCCCXCVII
1736,MDCCXXXVI
1036,MXXXVI
MMCDXXIII,2423
DCLXXVII,677
DCCLIX,759
MMCDLXXXVII,2487
2390,MMCCCXC
DXIII,513
MMDLXIX,2569
DCCCVII,807
678,DCLXXVIII
MMCDXXXIII,2433
357,CCCLVII
358,CCCLVIII
1266,MCCLXVI
MMCCXCIV,2294
2178,MMCLXXVIII
2861,MMDCCCLXI
2228,MMCCXXVIII
752,DCCLII
87,LXXXVII
MMLXXIX,2079
MCCXLVII,1247
CLXXIX,179
VII,7
852,DCCCLII
23,XXIII
953,CMLIII
MMCMXCVII,2997
CLXXXI,181
CMLVII,957
759,DCCLIX
MDLXXV,1575
1685,MDCLXXXV
944,CMXLIV
2295,MMCCXCV
1026,MXXVI
1712,MDCCXII
15,XV
1932,MCMXXXII
CLXXXVII,187
2379,MMCCCLXXIX
MDCLXXV,1675
ii,2
DCCLXXX,780
LIII,53
MMCCXX,2220
DCCCLXXXVI,886
2853,MMDCCCLIII
824,DCCCXXIV
432,CDXXXII
1821,MDCCCXXI
360,CCCLX
2163,MMCLXIII
1757,MDCCLVII
MDLVI,1556
2011,MMXI
411,CDXI
MMCXXXIV,2134
CMXCVII,997
CXCIV,194
102,CII
1796,MDCCXCVI
1347,MCCCXLVII
MMCCCXCVIII,2398
MCCCI,1301
267,CCLXVII
CCCXLVIII,348
DCLXXXII,682
380,CCCLXXX
2726,MMDCCXXVI
1589,MDLXXXIX
2384,MMCCCLXXXIV
2948,MMCMXLVIII
MMCXX,2120
MMDXXXIX,2539
488,CDLXXXVIII
CCII,202
1558,MDLVIII
MCLXXIX,1179
2762,MMDCCLXII
1770,MDCCLXX
2917,MMCMXVII
2497,MMCDXCVII
CLXIX,169
2727,MMDCCXXVII
CV,105
CCIX,209
MCLXIII,1163
MCMXCIV,1994
MMDXXXIII,2533
MMCMXCIX,2999
MCV,1105
MMDCXCIV,2694
858,DCCCLVIII
2708,MMDCCVIII
DCCCLXXII,872
MCMXCI,1991
438,CDXXXVIII
330,CCCXXX
2696,MMDCXCVI
MMCXCIX,2199
2486,MMCDLXXXVI
537,DXXXVII
1649,MDCXLIX
1109,MCIX
642,DCXLII
1817,MDCCCXVII
525,DXXV
2157,MMCLVII
DCVII,607
CCXXXIII,233
MMDLXI,2561
CDXLV,445
MMDCLIV,2654
1356,MCCCLVI
MCLXX,1170
2217,MMCCXVII
2136,MMCXXXVI
CCCXCVIII,398
MMCDXCII,2492
1721,MDCCXXI
CMLXXIX,979
MMCCCXXIII,2323
MMCC,2200
LXXIII,73
1487,MCDLXXXVII
2816,MMDCCCXVI
MXV,1015
2323,MMCCCXXIII
MCCCLXXVIII,1378
467,CDLXVII
MMCCCXXXIII,2333
CCCLIII,353
CCI,201
XCIX,99
LVIII,58
2759,MMDCCLIX
DXLVI,546
DCCCXXVII,827
MMDCCCIX,2809
MCMLXXIII,1973
MMDCLXXX,2680
MDCCCXLVII,1847
MDXCIII,1593
2230,MMCCXXX
1477,MCDLXXVII
1381,MCCCLXXXI
MMDCCCIII,2803
MMDCCLX,2760
1306,MCCCVI
D,500
MDCCCLXXXV,1885
XLIX,49
MMCDXXIV,2424
,ERROR
MMCCCII,2302
2592,MMDXCII
MMCCCXVII,2317
MDCCXXXIX,1739
MCCLXXXII,1282
124,CXXIV
717,DCCXVII
1874,MDCCCLXXIV
MMCCXXXVIII,2238
2831,MMDCCCXXXI
MDCXXIX,1629
MMDCCXXX,2730
MDCCLXIX,1769
2191,MMCXCI
992,CMXCII
DCLXXXV,685
1321,MCCCXXI
CDLXXXI,481
1756,MDCCLVI
MMDCXCII,2692
MMDLXV,2565
MDXXVII,1527
MDCCCXLIX,1849
MMCXCI,2191
1536,MDXXXVI
MXCVIII,1098
2830,MMDCCCXXX
MMCXCVIII,2198
MD,1500
1391,MCCCXCI
246,CCXLVI
2891,MMDCCCXCI
MMCCLI,2251
MLXXXVII,1087
MCCCLI,1351
1582,MDLXXXII
2132,MMCXXXII
885,DCCCLXXXV
MDCCCXXXIII,1833
503,DIII
MCDXXXVII,1437
MMDCXCIII,2693
942,CMXLII
1980,MCMLXXX
CVI,106
MMDCCLXXXV,2785
990,CMXC
MMDCXLIV,2644
,ERROR
MMXXI,2021
MMCCCXVI,2316
2362,MMCCCLXII
MMCDII,2402
CCXXIX,229
1243,MCCXLIII
1122,MCXXII
MMCDVI,2406
1681,MDCLXXXI
MMCDLXXII,2472
719,DCCXIX
286,CCLXXXVI
544,DXLIV
MMCCCXCIII,2393
1495,MCDXCV
MDCCLX,1760
2240,MMCCXL
2274,MMCCLXXIV
MMCCCLXXI,2371
2417,MMCDXVII
MCCCLXII,1362
CCLXIX,269
MCCCLIX,1359
CCXVI,216
2286,MMCCLXXXVI
220,CCXX
1248,MCCXLVIII
MCDLXXXV,1485
980,CMLXXX
DCXCII,692
MMLXXXIV,2084
DXXXVIII,538
1307,MCCCVII
MMCCXIX,2219
1660,MDCLX
CCCLVI,356
295,CCXCV
MDCCCXCIV,1894
1394,MCCCXCIV
796,DCCXCVI
1442,MCDXLII
1707,MDCCVII
MDLXXVII,1577
MMD,2500
MMCMLVII,2957
705,DCCV
MMCDLXXIX,2479
1998,MCMXCVIII
DCCCXCV,895
MMDLXXVIII,2578
MCDXL,1440
2391,MMCCCXCI
CDLXXV,475
DCCCL,850
CMXI,911
MCMXC,1990
1724,MDCCXXIV
1896,MDCCCXCVI
115,CXV
MMCMLXX,2970
1907,MCMVII
728,DCCXXVIII
890,DCCCXC
MLVI,1056
DCCCLXXVIII,878
878,DCCCLXXVIII
2082,MMLXXXII
MCMXLII,1942
884,DCCCLXXXIV
MMDXCIV,2594
CXIX,119
2669,MMDCLXIX
CCCL,350
1434,MCDXXXIV
1331,MCCCXXXI
1330,MCCCXXX
MMDCCCXXXIX,2839
278,CCLXXVIII
CCXCIII,293
1427,MCDXXVII
MDCLXXXII,1682
200,CC
1196,MCXCVI
2185,MMCLXXXV
MDCVII,1607
DCCCLVII,857
MMDCCCXLVI,2846
MMCDLXVII,2467
MMCDLII,2452
331,CCCXXXI
2404,MMCDIV
CCCXXXV,335
LXXVIII,78
MXII,1012
2244,MMCCXLIV
MDCCXXI,1721
MMCLIII,2153
2069,MMLXIX
1365,MCCCLXV
2993,MMCMXCIII
2806,MMDCCCVI
2143,MMCXLIII
1220,MCCXX
MMCDXL,2440
1019,MXIX
MCCXVIII,1218
MCCCLXXIII,1373
2512,MMDXII
CCCLIV,354
1784,MDCCLXXXIV
CLXXXVIII,188
2092,MMXCII
228,CCXXVIII
2001,MMI
1581,MDLXXXI
2963,MMCMLXIII
MMDCLXXXVII,2687
MDCCLXXXV,1785
1027,MXXVII
MCMXCV,1995
MDCCLIV,1754
1879,MDCCCLXXIX
MMDCCL,2750
1150,MCL
MMCDLXIV,2464
1341,MCCCXLI
MMDCCCXVIII,2818
1799,MDCCXCIX
CCCXIII,313
1790,MDCCXC
315,CCCXV
MMDCCCXLVII,2847
MDCCXXXVI,1736
2586,MMDLXXXVI
MLIII,1053
1893,MDCCCXCIII
2952,MMCMLII
428,CDXXVIII
1886,MDCCCLXXXVI
MMCCCXXXV,2335
DCCXXXIV,734
834,DCCCXXXIV
625,DCXXV
1944,MCMXLIV
MMDCCLXXXI,2781
2332,MMCCCXXXII
1418,MCDXVIII
MMDCLXVI,2666
391,CCCXCI
VIII,8
MMCCCXXXVI,2336
2234,MMCCXXXIV
CMXX,920
MDCCCX,1810
MDXL,1540
924,CMXXIV
MDCCXXV,1725
2107,MMCVII
555,DLV
1622,MDCXXII
MDCI,1601
2206,MMCCVI
1688,MDCLXXXVIII
CLV,155
DCCCXXXV,835
MXX,1020
1621,MDCXXI
650,DCL
MMCXV,2115
2748,MMDCCXLVIII
109,CIX
CDXXIII,423
MMXV,2015
MMCXVI,2116
MMLXXII,2072
617,DCXVII
DXX,520
2053,MMLIII
751,DCCLI
12,XII
MMCCCXCIV,2394
MCXV,1115
MLI,1051
CCCXCV,395
2984,MMCMLXXXIV
MMCCCXII,2312
MDCXCI,1691
MMDCXXXVI,2636
MMCCXIII,2213
1781,MDCCLXXXI
MCCCXXIV,1324
2022,MMXXII
MMLVII,2057
MCDIV,1404
998,CMXCVIII
854,DCCCLIV
2676,MMDCLXXVI
DCXVIII,618
CXXXVII,137
MMDCXXXII,2632
DCCCXXII,822
MMCDXLVIII,2448
MMDCXVII,2617
CLXXXIV,184
2943,MMCMXLIII
DCCXLIX,749
433,CDXXXIII
2937,MMCMXXXVII
LXXXIX,89
2326,MMCCCXXVI
MCDLXXX,1480
88,LXXXVIII
CMLXIV,964
DCXLI,641
2222,MMCCXXII
CDXCVI,496
MMDCCLXVIII,2768
2894,MMDCCCXCIV
281,CCLXXXI
MMDCCLXX,2770
CLX,160
MMCLIV,2154
MXXXIII,1033
CLVI,156
MDCCCLIV,1854
416,CDXVI
DCXII,612
MMCDLXXXIV,2484
2315,MMCCCXV
704,DCCIV
MDCXLIV,1644
567,DLXVII
2445,MMCDXLV
2355,MMCCCLV
DCCXVI,716
410,CDX
2300,MMCCC
1210,MCCX
2931,MMCMXXXI
2583,MMDLXXXIII
1905,MCMV
2117,MMCXVII
CCCLXIV,364
MDXXII,1522
1646,MDCXLVI
DCCCLXXVI,876
1367,MCCCLXVII
MMDCCXXVI,2726
MDCCCXXXIV,1834
1668,MDCLXVIII
MMCCXXXV,2235
MMCMXLIII,2943
MCCCLXIII,1363
CCLIII,253
MMDCCCVI,2806
MCXL,1140
MMDCLV,2655
MDCXXIII,1623
1838,MDCCCXXXVIII
CMV,905
556,DLVI
1662,MDCLXII
1635,MDCXXXV
205,CCV
2815,MMDCCCXV
MMDCLXVIII,2668
MMLXI,2061
1169,MCLXIX
MDXLIII,1543
647,DCXLVII
1265,MCCLXV
1423,MCDXXIII
1619,MDCXIX
MDCCCXLIV,1844
219,CCXIX
MMCCCI,2301
MMCXXXVIII,2138
1994,MCMXCIV
581,DLXXXI
MMDCCCXL,2840
MMCCCXXVIII,2328
364,CCCLXIV
1819,MDCCCXIX
CDXCI,491
MDXXXV,1535
11,XI
922,CMXXII
584,DLXXXIV
2887,MMDCCCLXXXVII
1591,MDXCI
1157,MCLVII
1091,MXCI
MLXI,1061
MMCCLXVIII,2268
1105,MCV
DCXXXVI,636
DLXXIII,573
MMCCCVIII,2308
562,DLXII
262,CCLXII
1552,MDLII
MCMXXVI,1926
2434,MMCDXXXIV
2386,MMCCCLXXXVI
1971,MCMLXXI
2215,MMCCXV
MDCCXXXIII,1733
MMCXXXIX,2139
DCCCLI,851
MCDLXVI,1466
MDCCCLXXIX,1879
2755,MMDCCLV
2927,MMCMXXVII
268,CCLXVIII
961,CMLXI
CCXIII,213
439,CDXXXIX
1037,MXXXVII
595,DXCV
672,DCLXXII
2413,MMCDXIII
2581,MMDLXXXI
1690,MDCXC
131,CXXXI
1859,MDCCCLIX
971,CMLXXI
MDXIX,1519
DCCXXV,725
CCLX,260
MMCDI,2401
MCMLXXXIV,1984
2260,MMCCLX
MCCCXXX,1330
2389,MMCCCLXXXIX
MCCCLXXXV,1385
CMXIII,913
MMDXXIII,2523
MMDXCIII,2593
869,DCCCLXIX
314,CCCXIV
MMDCCLXXXVI,2786
259,CCLIX
2010,MMX
MDCCXXVI,1726
1684,MDCLXXXIV
2772,MMDCCLXXII
DCCCLXXXII,882
MCXCIII,1193
1452,MCDLII
MMDCCCLXXI,2871
2427,MMCDXXVII
123,CXXIII
1629,MDCXXIX
CXXVIII,128
MMCXIX,2119
MMCCXXIV,2224
MCCXXXV,1235
MCCCIX,1309
1499,MCDXCIX
249,CCXLIX
1359,MCCCLIX
DC,600
2067,MMLXVII
MMCXCII,2192
CDV,405
DCLXXV,675
MCCCLXXXVII,1387
MDCCCLXIII,1863
415,CDXV
2356,MMCCCLVI
DCCIV,704
MMCMLXVII,2967
MMDXIII,2513
LXVII,67
MMCCCLIX,2359
779,DCCLXXIX
2428,MMCDXXVIII
MDCCXLVII,1747
MMDXXI,2521
2903,MMCMIII
MMDCCLXXVIII,2778
MCMII,1902
CXIV,114
1633,MDCXXXIII
MMI,2001
MMCMLIX,2959
MMDLXVI,2566
MCLIII,1153
iii  ,3
MCLIX,1159
984,CMLXXXIV
MDCCCXVIII,1818
MMCCCIV,2304
98,XCVIII
MMCCCLII,2352
421,CDXXI
2620,MMDCXX
2820,MMDCCCXX
257,CCLVII
DCCCLXI,861
1895,MDCCCXCV
MMDCCXCI,2791
507,DVII
496,CDXCVI
MDCLXV,1665
769,DCCLXIX
996,CMXCVI
MCDXXXIII,1433
1320,MCCCXX
765,DCCLXV
MMLXV,2065
2489,MMCDLXXXIX
DCLXVIII,668
48,XLVIII
2531,MMDXXXI
1046,MXLVI
1813,MDCCCXIII
DCLXVI,666
MCLXXXI,1181
MLXXXIV,1084
MDCIX,1609
1071,MLXXI
677,DCLXXVII
MCDXLVII,1447
833,DCCCXXXIII
MDCCCXLVIII,1848
MMCMXXIII,2923
2758,MMDCCLVIII
1292,MCCXCII
MDCCCXXXII,1832
MCCCLXIX,1369
1574,MDLXXIV
MMCCCXI,2311
MMCCLXXIII,2273
MDCXXX,1630
MMCMLV,2955
2701,MMDCCI
381,CCCLXXXI
1717,MDCCXVII
354,CCCLIV
XXI,21
MCXCI,1191
2769,MMDCCLXIX
II,2
2760,MMDCCLX
2644,MMDCXLIV
CIV,104
2662,MMDCLXII
697,DCXCVII
1205,MCCV
MCCCLXXXI,1381
612,DCXII
MCMLXXVIII,1978
CMXVII,917
2686,MMDCLXXXVI
1404,MCDIV
MCVI,1106
DCCXLI,741
CCV,205
MMCXC,2190
1974,MCMLXXIV
,ERROR
CCCLXXXIII,383
21,XXI
933,CMXXXIII
2492,MMCDXCII
2902,MMCMII
1983,MCMLXXXIII
638,DCXXXVIII
DCCXIII,713
1929,MCMXXIX
MMDCLXXXVIII,2688
1700,MDCC
MLX,1060
1968,MCMLXVIII
1978,MCMLXXVIII
2501,MMDI
MCDXII,1412
LIV,54
MMDCCLXXIII,2773
127,CXXVII
1618,MDCXVIII
MDCCCIV,1804
1975,MCMLXXV
DCCXXI,721
517,DXVII
MMDCCCLIII,2853
MXXXVIII,1038
519,DXIX
DCCCLXX,870
2722,MMDCCXXII
1755,MDCCLV
1780,MDCCLXXX
MDCLXXX,1680
     5   ,V
1118,MCXVIII
DCCXXXVII,737
MMDLXXVI,2576
83,LXXXIII
403,CDIII
DCCCXCVI,896
761,DCCLXI
333,CCCXXXIII
770,DCCLXX
1028,MXXVIII
CLVIII,158
1192,MCXCII
908,CMVIII
1232,MCCXXXII
2550,MMDL
CXXIX,129
DCCLXVIII,768
1315,MCCCXV
MCCLXX,1270
952,CMLII
MMDCCCXII,2812
MMCCCXXXVII,2337
1659,MDCLIX
1782,MDCCLXXXII
1642,MDCXLII
DCCXXIV,724
2331,MMCCCXXXI
MMCCCLVIII,2358
1985,MCMLXXXV
2310,MMCCCX
DCCLXII,762
991,CMXCI
2979,MMCMLXXIX
740,DCCXL
MCXXIII,1123
1934,MCMXXXIV
MDCXLIX,1649
MMCI,2101
75,LXXV
473,CDLXXIII
2619,MMDCXIX
1645,MDCXLV
2303,MMCCCIII
MCDXXXII,1432
2075,MMLXXV
CXXXVI,136
1987,MCMLXXXVII
958,CMLVIII
1911,MCMXI
1617,MDCXVII
2119,MMCXIX
MCLVIII,1158
